id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,umpire1,umpire2
210,Nagpur,04-05-2010,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,Rajasthan Royals,2,0,HDPK Dharmasena,SJA Taufel
208,Kolkata,04-04-2010,DPMD Jayawardene,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,Kings XI Punjab,0,8,S Asnani,DJ Harper
209,Delhi,04-04-2010,PD Collingwood,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,Delhi Daredevils,37,0,BF Bowden,M Erasmus
206,Chennai,04-03-2010,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Chennai Super Kings,23,0,RE Koertzen,RB Tiffin
207,Mumbai,04-03-2010,AT Rayudu,Brabourne Stadium,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,Mumbai Indians,63,0,BR Doctrove,S Ravi
205,Chandigarh,04-02-2010,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,Royal Challengers Bangalore,0,6,BF Bowden,M Erasmus
204,Kolkata,04-01-2010,SC Ganguly,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,24,0,K Hariharan,DJ Harper
202,Chennai,3/31/2010,M Vijay,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,Chennai Super Kings,0,5,BG Jerling,RE Koertzen
203,Delhi,3/31/2010,KD Karthik,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Delhi Daredevils,67,0,HDPK Dharmasena,SJA Taufel
201,Mumbai,3/30/2010,SL Malinga,Brabourne Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,4,BR Doctrove,SK Tarapore
200,Delhi,3/29/2010,DA Warner,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Delhi Daredevils,40,0,SS Hazare,SJA Taufel
198,Ahmedabad,3/28/2010,NV Ojha,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,17,0,SS Hazare,SJA Taufel
199,Mumbai,3/28/2010,Harbhajan Singh,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Mumbai Indians,41,0,S Das,K Hariharan
196,Chandigarh,3/27/2010,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,39,0,BR Doctrove,S Ravi
195,Ahmedabad,3/26/2010,YK Pathan,"Sardar Patel Stadium, Motera",Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,Rajasthan Royals,0,8,HDPK Dharmasena,SJA Taufel
194,Mumbai,3/25/2010,SR Tendulkar,Brabourne Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,5,BF Bowden,AM Saheba
197,Bangalore,3/25/2010,KM Jadhav,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Delhi Daredevils,17,0,BG Jerling,RE Koertzen
193,Chandigarh,3/24/2010,AC Voges,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Rajasthan Royals,31,0,BR Doctrove,SK Tarapore
192,Bangalore,3/23/2010,RV Uthappa,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Royal Challengers Bangalore,36,0,RE Koertzen,RB Tiffin
191,Mumbai,3/22/2010,SR Tendulkar,Brabourne Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,Mumbai Indians,0,7,SS Hazare,SJA Taufel
189,Cuttack,3/21/2010,A Symonds,Barabati Stadium,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Deccan Chargers,10,0,BF Bowden,M Erasmus
190,Chennai,3/21/2010,J Theron,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,Kings XI Punjab,0,0,K Hariharan,DJ Harper
187,Ahmedabad,3/20/2010,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals,34,0,RE Koertzen,RB Tiffin
188,Mumbai,3/20/2010,JH Kallis,Brabourne Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,0,7,HDPK Dharmasena,SS Hazare
185,Delhi,3/19/2010,ML Hayden,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,Chennai Super Kings,0,5,BR Doctrove,SK Tarapore
186,Cuttack,3/19/2010,A Symonds,Barabati Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Deccan Chargers,6,0,BF Bowden,M Erasmus
184,Bangalore,3/18/2010,JH Kallis,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,10,K Hariharan,DJ Harper
183,Delhi,3/17/2010,SR Tendulkar,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,98,0,BR Doctrove,SK Tarapore
181,Bangalore,3/16/2010,JH Kallis,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,Royal Challengers Bangalore,0,8,S Das,DJ Harper
182,Kolkata,3/16/2010,MS Dhoni,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Chennai Super Kings,55,0,HDPK Dharmasena,AM Saheba
